10000 , 231.8850003749132 , 487.0000003054738
20000 , 249.02000081017613 , 492.20000091940165
30000 , 245.8550007712096 , 524.600001975894
40000 , 323.99000112600623 , 492.20000103861094
50000 , 210.9550007622689 , 447.30000127106905
60000 , 222.15500076636673 , 577.3000015467405
70000 , 249.3450008071959 , 492.9000024497509
80000 , 409.9150015767664 , 728.6000029593706
90000 , 307.09500102065505 , 576.4000015854836
100000 , 461.6900016833097 , 729.500003091991
110000 , 404.42000161260364 , 594.6000007092953
120000 , 433.7500017017126 , 983.0000004470348
130000 , 465.1800020992756 , 729.6000025868416
140000 , 449.28500206544993 , 814.7000042274594
150000 , 316.6350011661649 , 985.7000049129128
160000 , 399.56000176519154 , 731.0000027641654
170000 , 519.5700022466481 , 987.4000021219254
180000 , 490.4700018823147 , 986.7000025585294
190000 , 567.9600022938102 , 986.7000036984682
200000 , 377.05500145182015 , 985.9000054076314
210000 , 547.9800025474281 , 986.500006057322
220000 , 617.3050024610013 , 987.3000031560659
230000 , 333.2950013950467 , 986.4000043869019
240000 , 264.26000119559467 , 729.3000025600195
250000 , 394.8500021502376 , 978.1000060364604
260000 , 446.1850015502423 , 977.799999922514
270000 , 591.1850021705031 , 984.600002489984
280000 , 573.1600022483617 , 981.3000022172928
290000 , 594.8600027736277 , 986.9000039696693
300000 , 505.2750021297485 , 986.500002630055
310000 , 430.42000175751747 , 986.5000027343631
320000 , 633.9150026287883 , 986.2000050246716
330000 , 446.745002085343 , 810.2000031396747
340000 , 635.2750029820949 , 986.1000023186207
350000 , 507.4850022062659 , 986.4000033140182
360000 , 508.515002143383 , 987.0000045150518
370000 , 582.0750028755516 , 814.9000035449862
380000 , 544.23000237979 , 985.8000036403537
390000 , 578.7350027877837 , 985.9000052511692
400000 , 284.62500145249066 , 727.8000036627054
410000 , 367.0650017891079 , 721.9000029563904
420000 , 618.5600031677634 , 985.9000053852797
430000 , 621.6850028775632 , 986.7000060677528
440000 , 549.2850022230298 , 986.6000032946467
450000 , 650.9600029785186 , 987.5000056475401
460000 , 680.0450029108673 , 988.1000053733587
470000 , 626.8150028724224 , 987.4000047445297
480000 , 838.4450035192073 , 987.2000064477324
490000 , 471.77500228099524 , 983.200003914535
500000 , 438.5550016835332 , 870.1000035703182
